query_id,query_text
940,What is my maximum level of delinquency?
941,What are the fees associated with my account?
942,How many times have I been delinquent in the past?
943,What does my approval flag status mean?
944,What does my approval flag status mean?
945,What does my approval flag status mean?
946,What does my approval flag status mean?
947,What is my maximum level of delinquency?
948,How can I improve my credit score?
949,What is the time since my last payment?
950,What are the fees associated with my account?
951,How can I improve my credit score?
952,What is the time since my last payment?
953,What is the time since my last payment?
954,What is the time since my last payment?
955,Can you provide details on my credit score?
956,Can you provide details on my credit score?
957,Can you provide details on my credit score?
958,What are the fees associated with my account?
959,What does my approval flag status mean?
960,Why was my credit application rejected?
961,What is the status of my loan application?
962,What does my approval flag status mean?
963,Why was my credit application rejected?
964,What are the fees associated with my account?
965,What are the fees associated with my account?
966,Can you provide details on my credit score?
967,What is my maximum level of delinquency?
968,Can you provide details on my credit score?
969,How can I improve my credit score?
970,Why was my credit application rejected?
971,How many times have I been delinquent in the past?
972,How many times have I been delinquent in the past?
973,How can I improve my credit score?
974,What are the fees associated with my account?
975,What are the fees associated with my account?
976,How many times have I been delinquent in the past?
977,Can I get a detailed report of my recent transactions?
978,Can you provide details on my credit score?
979,Can you provide details on my credit score?
980,How many times have I been delinquent in the past?
981,What is the time since my last payment?
982,Can I get a detailed report of my recent transactions?
983,Can you provide details on my credit score?
984,How can I improve my credit score?
985,What are the fees associated with my account?
986,Can you provide details on my credit score?
987,What are the fees associated with my account?
988,Can I get a detailed report of my recent transactions?
989,How many times have I been delinquent in the past?
990,What is the time since my last payment?
991,What is my maximum level of delinquency?
992,How can I improve my credit score?
993,How many times have I been delinquent in the past?
994,Can you provide details on my credit score?
995,Why was my credit application rejected?
996,How can I improve my credit score?
997,What is my maximum level of delinquency?
998,Can I get a detailed report of my recent transactions?
999,What is my maximum level of delinquency?
1000,What is the status of my loan application?
